AREA_NAME,COMMODITY_DESC,count
DEAL PARTY CONT.AREA,P12M CONT HEAVY >26T-<29400KG,31
DEAL PARTY CONT.AREA,INFRASTRUCTURE,1
DURBAN AREA,PULPWOOD (HARD WOOD),7986
DURBAN AREA,CEMENT CLINKER,2936
DURBAN AREA,COAL EOHP,2817
DURBAN AREA,MANGANESE CRUDE DIOXIDE EXP,2327
DURBAN AREA,MAIZE LOOSE EXP,1965
DURBAN AREA,SUGAR LOOSE,1823
DURBAN AREA,CHROME ORE SAND CRUDE EXP,1705
DURBAN AREA,P12M CONT HEAVY >26T-<29400KG,1137
DURBAN AREA,CONTAINER TRAFF MOVED AS BULK,772
DURBAN AREA,SLAG IRON & STEEL T/WAGONS,770
DURBAN AREA,DIESEL FUEL OIL T/WAGONS,611
DURBAN AREA,CONTAINER WAGON MOVEMENT,574
DURBAN AREA,MANGANESE CRUDE DIOXIDE LOCAL,562
DURBAN AREA,WHEAT LOOSE EOHP,510
DURBAN AREA,EARTH ETC CRUDE,504
DURBAN AREA,MOTOR SELFPROPELLED VEHICLES,247
DURBAN AREA,PETROL UNL T/W GASOLINE 1203,238
DURBAN AREA,CHEMICALS IN T/WAGONS,201
DURBAN AREA,CEMENT ORDINARY IN T/WAGONS,102
DURBAN AREA,SUGAR PACKED,90
DURBAN AREA,COKE EOHP,70
DURBAN AREA,PETROLEUM DERIVATIVES,65
DURBAN AREA,AVIATION TURBINE FUEL T/WAGONS,57
DURBAN AREA,WHEAT LOOSE EXPORT,23
DURBAN AREA,CAUSTIC SODA EOHP,17
DURBAN AREA,SODIUM CARBONITE/CHROMATE BOT,8
DURBAN AREA,INFRASTRUCTURE,5
DURBAN AREA,OIL LUBRICATING IN T TRUCKS,3
DURBAN AREA,GAS IN TANK WAGONS,3
DURBAN HARBOUR AREA,MOTOR SELFPROPELLED VEHICLES,1465
DURBAN HARBOUR AREA,SUGAR LOOSE,770
DURBAN HARBOUR AREA,FLUORSPAR,597
DURBAN HARBOUR AREA,CHROME ORE SAND CRUDE EXP,528
DURBAN HARBOUR AREA,PULPWOOD (HARD WOOD),523
DURBAN HARBOUR AREA,LIME IN BAGS,337
DURBAN HARBOUR AREA,COPPER  CRUDE CONCENTRATE,160
DURBAN HARBOUR AREA,IRON OR STEEL,76
DURBAN HARBOUR AREA,MANGANESE CRUDE DIOXIDE EXP,68
DURBAN HARBOUR AREA,WHEAT LOOSE EOHP,41
DURBAN HARBOUR AREA,FERTILIZER EOHP,5
DURBAN HARBOUR AREA,CONTAINER WAGON MOVEMENT,2
DURBAN HARBOUR AREA,HARDWARE EOHP,2
EAST LONDON AREA,INFRASTRUCTURE,57
EAST LONDON AREA,REC FULL EMPTY RETURN(CONTRACT,36
EAST LONDON AREA,CEMENT ORDINARY IN T/WAGONS,5
ERMELO AREA,COAL EXPORT FOR STACKS,1100
ERMELO AREA,COAL EOHP,160
ERMELO AREA,PULPWOOD (HARD WOOD),120
ERMELO AREA,INFRASTRUCTURE,54
ERMELO AREA,DIESEL FUEL OIL T/WAGONS,39
ISANDO AREA,AMMONIA ANHYDROUS LIQUOR / SOL,1514
ISANDO AREA,MOTOR SELFPROPELLED VEHICLES,1084
ISANDO AREA,AVIATION TURBINE FUEL T/WAGONS,99
ISANDO AREA,SUGAR LOOSE,44
ISANDO AREA,MAIZE LOOSE,26
ISANDO AREA,CONTAINER WAGON MOVEMENT,6
ISANDO AREA,SUGAR PACKED,5
ISANDO AREA,GENERAL SPRINT UNALLOCATED,4
JOHANNESBURG AREA,IRON OR STEEL,458
JOHANNESBURG AREA,BARLEY EOHP,426
JOHANNESBURG AREA,CEMENT CLINKER,356
JOHANNESBURG AREA,CEMENT ORDINARY IN T/WAGONS,166
JOHANNESBURG AREA,IRON ORE,164
JOHANNESBURG AREA,GAS IN TANK WAGONS,59
JOHANNESBURG AREA,GYPSUM EOHP,40
JOHANNESBURG AREA,BLOCKS EOHP,39
JOHANNESBURG AREA,SODIUM CARBONITE/CHROMATE BOT,35
JOHANNESBURG AREA,COAL EOHP,22
JOHANNESBURG AREA,INFRASTRUCTURE,16
JOHANNESBURG AREA,GAS PETROLEUM,2
JOHANNESBURG AREA,CONTAINER WAGON MOVEMENT,1
KASCON CONT.ARE,CONTAINER WAGON MOVEMENT,1039
KASCON CONT.ARE,P12M CONT EXP HEAV >26T-29400K,78
KIMBERLEY AREA,WHEAT LOOSE EOHP,363
KIMBERLEY AREA,INFRASTRUCTURE,165
