LOCATION_NAME,count
CLEWER SDG.HIGHVELD STEEL CORP,1120
KAZCON CX,1117
KAALFONTEIN SITE CAR TRAIN,1084
NEWCASTLE SDG.NPC CIMCOR PTY LTD,1047
ALOES SDG.NELSON MANDELA BAY M,1039
FORFAR SDG.MS RAIL,997
RUSTENBURG SDG.XSTRATA AFRICA PTY LTD,956
NGAGANE DEPT.SIDING OSHO SA ST,937
RIETGAT SDG.AFRISAM SOUTH AFRI,890
SWARTKOPS SDG.SWARTKOPS TERMIN,868
MARIKANA,856
SALDANHA HARBOUR POTTERKOM,853
HOTAZEL SDG.SOUTH 32 MANGANESE,827
SALDANHA SDG.SEAWIND INVESTMEN,822
MAYDON WHARF SDG.S.A SUGAR TER,770
FELIXTON SDG.TONGAAT HULETT SU,763
PRETORIA-WES SDG.RUTO MILLS 1,719
MAYDON WHARF SDG.SOUTH AFRICAN,708
MEREBANK SDG.ENGEN PETROLEUM,671
VEREENIGING SDG.VEREENIGING REFRACTORIES,637
STEELPOORT SDG.SAMANCOR LIMITED,637
MAMATHWANE SDG.UNITED MANGANES,603
BOSHOEK SDG.XSTRATA SOUTH AFRI,589
PENDORING,574
DURBAN DEPT.SIDING ACCESS FREI,568
SALKOR SDG.NAMAKWA SANDS LTD,567
TRICHARDT SDG.SASOL OIL,550
MAYDON WHARF SDG.NCT DURBAN WOOD CHIPS,523
RIETKUIL SDG.MAFUBE COLLIERY,500
BROODSNYERSPLAAS SDG.MARTIN AN,487
POSTMASBURG DEPT.SIDING SEDIBE,487
MAYDON WHARF BERTH 9,481
SALKOR SDG.YSTERVARK ORE,472
DE HOEK SDG.PRETORIA PORTLAND CEMENT,469
NATALSPRUIT SDG.NZENGA INVESTM,458
JUPITER SDG.PRETORIA PORTLAND,435
NATALSPRUIT SDG.SOUTHERN ASS.M,426
ROSSLYN SDG. BMW SOUTH AFRICA,419
MODDERRIVIER SDG.GWK BEPERK,406
STANDERTON SDG.TUTUKA ESKOM HO,400
MAYDON WHARF SDG.GRINROD INTER,392
MASERU,388
SLURRY SDG.PRETORIA PORTLAND C,372
SALKOR PRECAST SIDING,369
SASOLBURG SDG.OMNIA GROUP PTY,365
VICTORIA SDG.TIGER FOOD BRANDS,359
RICHARDS BAY SDG.CENTRAL TIMBE,345
MAMATHWANE SDG.TSHIPI E NTLE MANGANESE,339
GLEDHOW SDG.SAPPI FINE PAPERS,317
UITKYK,317
COR DELFOS SDG.ARCELORMITTAL S,314
BELCON,303
CAROLINA SDG. DROOGVALLEI RAIL,300
RICHARDS BAY SDG.BRIARDALE TRA,292
RICHARDS BAY SDG ISLAND VIEW BULK STORAG,266
MASCON,256
WALTLOO SDG.FORD MOTOR CO,252
ISIPINGO SITE CAR TRAIN,247
VAALCON (CX),246
VRYHEID SDG.NGUNI MINING PTY L,240
SASOLBURG SDG.SASOL CHEMICAL I,239
KOMATIPOORT SDG.TSB KOMATI MILL,237
RICHARDS BAY HARBOUR BULK META,234
ROBINSON SDG.TIGER MILLING AND FEEDS,223
KILKENNY SDG.RUSTENBURG PLATIN,223
MEREBANK SDG.LANXESS,206
BRAKPAN SDG.AFRISAM SOUTH AFRI,202
BROODSNYERSPLAAS,200
PULLENS HOPE SDG.WOESTALLEEN C,200
TALANA SDG.BUFFALO COAL PTY LT,199
WATERVAL BOVEN,197
WORCESTER SDG.RCL FOODS SUGAR,195
PIET RETIEF SDG.JINDAL MINING,190
UITENHAGE,182
ROSSLYN DEPT.SIDING VUKA MZANT,181
SASOLBURG SDG.BUTAMOL LIMITED,177
RICHARDS BAY SDG.MONDI LIMITED,177
RICHARDS BAY SDG.WOODCHIPS NCT,177
ROOIPUNT SDG.KARBOCHEM,175
STEELPOORT SDG.SAMANCOR LIMITE,175
ISLAND VIEW SDG.TOTAL S.A,174
RICHARDS BAY SDG.RCB IRON AND,172
CLEWER SDG.TRANSALLOYWS PTY LT,171
KLIPRIVIER SDG.EVERITE BUILDIN,166
UNION SDG.SCAW METALS,164
KOMATIPOORT LOCO,161
ARBOR SDG.GIJIMA SUPPLY MANAGE,151
NEWCON,147
MASERU SDG.LESOTHO FLOUR MILLS,145
HAWERKLIP,142
KAAPMUIDEN,137
PIENAARSRIVIER DEPT.SID VERGEN,136
RICHARDS BAY SDG.FOSKOR LIMITE,134
PHALABORWA SDG.FARMERS WORLD L,132
ULCO SDG.AFRISAM SOUTH AFRICA,126
BEACONSFIELD DEPT.SIDING VAE S.A PTY LTD,126
LOTHAIR,120
HAZYVIEW,114
RUSTENBURG SDG.BP SOUTHERN AFRICA,114
ALGOABAAI ANKERPLEK 1,113
CATO RIDGE SDG.ASSMANG CATO RI,113
MANDINI SDG.SAPPI KRAFT,107
MAYDON WHARF DEPT.SIDING FREIGHTMAX,105
NGQURA PORT TERMINAL,101
BALLENGEICH SDG.IZIMBIWA COAL,100
VANDYKSDRIF SITE EXXARO COAL C,100
WITRAND SDG.XSTRATA SOUTH AFRI,100
GLEDHOW SDG.USHUKELA,100
ELANDSFONTEIN SDG.CHEVRON S.A,99
BELMONT,98
SAGGIESBERG,97
BLOEMFONTEIN SDG.AFRISAM SOUTH AFRICA LT,97
NELSPRUIT SDG.MANGANESE METAL COMPANY,95
NUWELAND SDG.THE SOUTH AFRICAN,95
MALMESBURY SDG.PIONEER FOODS PTY LTD,91
LYDENBURG SDG.XSTRATA,85
PHALABORWA,81
RICHARDS BAY HARBOUR WAGON LOA,81
MALMESBURY,80
WITRAND SDG.NORTHERN COAL PTY,80
COOKHOUSE,80
NORTHAM,80
LEEUHOF SDG.PREMIER FOOD,80
WILDRAND,79
PAN,78
SAAIWATER SDG.GLENCORE OPERATI,76
DANSKRAAL DEPT.SIDING 8450,75
CALEDON SDG.S. A BREWERIES LIM,74
ISLAND VIEW SDG.ISLAND VIEW HOLDINGS 1,65
SUNBURY,65
HALFWEG,63
DURBAN HARBOUR SDG.FRESH PRODUCE TERMINA,62
PAARDENEILAND SDG.FRESH PRODUCE TERMINAL,62
KREEFBAAI,59
ISLAND VIEW SDG.SHELL SOUTH AFRICA 1,59
RICHARDS BAY HARBOUR COAL TERMINAL,58
SOUS,54
ROOIKOP SDG.AFRICAN OXYGEN LIMITED,53
WITMOS,51
ESTCOURT SDG.SASKO MILLS,49
GERMISTON SDG.ILLOVO SUGAR LTD,49
MONTCLAIR SDG.MONDI PAPER CO.LTD,48
BAYHEAD,47
MAYDON WHARF SDG.AFRICAN OXYGE,47
BLOEMCON CONTAINER TERMINAL NE,46
ULUNDI,45
BELLVILLE SDG.CONSOL LIMITED,43
TURFGROND SDG.SAMANCOR LIMITED,43
COLIGNY,43
PERDEKOP,42
NEW BRIGHTON SDG.P.P CEMENT LI,40
UMTENTWENI SDG.NPC CIMCOR PTY LTD,40
VOORSLAG SDG.XSTRATA SOUTH AFR,40
WONDERFONTEIN SDG.IZIMBIWA COA,40
HLUNGWANA,39
ERMELO LOKO/DEPOT,39
MOOIRIVIER,39
BITTERFONTEIN,37
ROOIWAL SDG.SENWES BEPERK,37
NELSPRUIT,37
ALGOABAAI ANKERPLEK 9,37
LOUIS TRICHARDT,36
UITENHAGE DEPT.SIDING CROWN CH,36
DELMAS SDG.EXXARO COAL PTY LTD,36
UMTATA,36
NATALSPRUIT SDG.BOTSWANA ASH,35
BLOEMHOF,35
KING'S REST BUFFER STACK,35
CITY DEEP,33
ROOIPUNT SDG.KARBOCHEM 1,30
BELLVILLE SITE SCRAP CONTAINERS,29
RICHARDS BAY SDG.CITY COUNCIL,29
RIETVLEIRUS (SDG),29
GUNHILL SDG.SHELL S.A,27
BELFAST,26
QUEENSTOWN SDG. AFRISAM S.A,26
SASOLBURG SDG.SENMIN INTERNATI,25
LIME ACRES SDG.PPC CEMENT LIMI,25
KING'S REST SDG.S.A CONTAINER DEPOTS,24
LICHTENBURG SDG.LAFARGE SOUTH,22
MULDERSVLEI,22
SPRUYTSRUS,22
KALBASKRAAL,22
MALELANE,21
BEACONSFIELD DEPT.SIDING RAIL 2 RAIL,21
RICHARDS BAY SDG.SEAMUNYE PORT,20
GEORGE SDG.PRETORIA PORTLAND CEMENT LTD,20
KARRINGMELK SDG.SENTRAAL SUID KOOPERASIE,20
WESSELSBRON,20
KLAWER,20
STERKSTROOM,20
SPRINGFONTEIN,20
SENTRARAND DEPT.SIDING 8724,19
NEW BRIGHTON SDG.MEADOW FEEDS MILLS CAPE,19
WALTLOO SDG.BP SOUTHERN AFRICA,18
ERMELO YARD,17
DOUGLAS SDG.HIGHVELD STEEL AND,17
UMBOGINTWINI SDG.HEARTLANDS LEASING LTD,17
SYFERBULT,17
TARLTON DEPT.SIDING PETRONET,17
GERMISTON SDG.TONGAAT HULLETT,17
MACFARLANE,16
UITENHAGE HERSTELDEPOT,15
AIRLIE,15
BEACONSFIELD,15
MKONDO,15
CHISELHURST SDG.AFRISAM SOUTH AFRICA LTD,15
KLIPDALE SDG.OVERBERG AGRI BEDRYWE,15
MAYDON WHARF SDG.ENSIMBINI TER,14
VROLIK,14
ROODEPOORT SDG.AFRISAM SOUTH AFRICA LTD,14
PIENAARSRIVIER,14
LADYSMITH SDG.TOTAL SOUTH AFRI,13
NSELENI,13
LAINGSBURG,13
FICKSBURG SDG.LESOTHO MILLING COMPANY,13
STANDERTON,13
POLOKWANE,12
KOOPMANSFONTEIN,12
MQWABE,12
COMMONDALE,12
SENTRARAND,12
SPRINGS,12
REDHOUSE SDG.SOUTH AFRICAN BREWERIES,11
ARLINGTON,11
KOMATIPOORT,10
REITZ SDG.VRYSTAAT KOOPERASIE,10
ALGOABAAI,10
KOMATIPOORT TERREIN,10
VRYHEID,10
SWELLENDAM SDG.SENTRAAL SUID K,10
WORCESTER DEPT.SIDING 8767,10
TRICHARDT SDG.SASOL CHEMICALS,10
VRYHEID DEPT.SIDING 8384,10
HARRISMITH,10
KRUGERSDORP DEPT.SIDING 8297,9
SASOLBURG OPERATIONAL,9
DANSKRAAL,9
CATO RIDGE,9
KAALFONTEIN SDG.AFGRI OPERATIO,9
RICHARDS BAY DEPT.SIDING 8582,8
MALONJENI,8
MONTEVIDEO SDG.AFGRI OPERATIONS LTD,7
FRIEDESHEIM SDG.HARMONY GOLD MINING CO L,7
SASOLBURG SDG.SAFRIPOL PTY LTD,7
BELLVILLE DEPT.SIDING 8024,7
GEORGE,7
PULLENS HOPE,6
SWARTRUGGENS,6
GUNHILL SDG.ENGEN PETROLEUM LI,6
POLOKWANE DEPT.SIDING 8744,6
NATALSPRUIT SDG.PUREGAS PTY LTD,6
BELLVILLE SDG.TONGAAT HULLETT STARCH,6
KROONSTAD SDG.SENWES BEPERK 1,6
DANIELSRUS SDG.XSTRATA SOUTH AFRICA,5
MAYDON WHARF SDG.GRINROD TERMI,5
TABLE BAY HARBOUR,5
NGODWANA,5
DUMEZWENI,5
NKWALINI,5
BEACONSFIELD SDG.EASIGAS PTY L,5
LYDENBURG LOCO,5
LIDGETTON,5
DURBAN BULK SERVICES,5
VICTORIA SDG.AFRISAM SOUTH AFRICA LTD,5
BAYHEAD YARD,5
PAULPIETERSBURG,4
GOLELA,4
BELA BELA,4
CLEWER OPERATIONAL,4
VOORBAAI LOCO/DEPOT,4
VICTORIA,4
MAGUZULA,3
FYNNLAND SDG.VOPAK TERMINAL DURBAN,3
MEREBANK SDG.SHELL & BP PETROL REFIN.,3
PROTEM SDG.OVERBERG AGRI BEDRY,3
VRYHEID OOS DEPT.SIDING 8536,3
BEDLANE,3
HEIDELBERG GAUTENG,3
MEVAMHLOPE,3
BELLVILLE DEPT.SIDING 8792,3
PRIESKA SDG.GRIEKWALAND WES KO,2
IMPALA,2
BLOEMFONTEIN OORSLAG,2
BRITS SDG.MAGALIESBURGSE GRAAN,2
RIETPOEL SDG.OVERBERG AGRI BEDRYWE,2
RIETPOEL,2
DRAGHOENDER,2
ROCKY DRIFT SDG.SHELL SOUTH AF,2
FYNNLAND,2
NIGEL SDG.EASIGAS PTY LTD,2
UPINGTON,2
BLINKPAN,2
MAYDON WHARF SDG.BIDFREIGHT PORT OPER.,2
WENTWORTH LOCOMOTIVE DEPOT,2
BLOEMHOF SDG.SUIDWES LANDBOU,2
MELLISH,2
VOORBAAI TERREIN,2
ERMELO YARD SDG.FORZANDO,2
NATALSPRUIT,2
NELSPRUIT SDG.TOTAL SOUTH AFRICA,1
GOEDGELUK,1
NATALSPRUIT SDG.SHELL S.A MARKETING,1
TRICHARDT SDG.POLIFIN LIMITED,1
KOEDOESPOORT DEPT.SIDING 8248,1
MGANU,1
KENHARDT,1
HOEDSPRUIT,1
DE AAR DEPT.SIDING 8161,1
WESSELSBRON SDG.OMNIA GROUP PT,1
LYDENBURG,1
MOLLISSIMA,1
BLOEMFONTEIN DEPT.SIDING SM TRANSPORT,1
ISWEPE,1
KOMATIPOORT REPAIR DEPOT,1
PORT ELIZABETH,1
ALICEDALE,1
BLOEMFONTEIN WORKSHOP,1
PHALABORWA OPERATIONAL,1
KROONSTAD REPAIR SIDING,1
CAMBRIDGE DEPT.SIDING PERWAY INSPECTOR,1
STANGER,1
DONKERPOORT,1
BLOEMFONTEIN,1
DURBAN DEPT.SDG.TRANSWERKE,1
TZANEEN OPERATIONAL,1
KINGSWOOD SDG.SUIDWES LANDBOU,1
NEWCASTLE YARD,1
EMPANGENI DEPT.SIDING 8493,1
NELSPRUIT LOCO,1
FYNNLAND TANK CLEANOUT SIDING,1
KLEINVELD,1
FYNNLAND SDG.ENGEN PETROLEUM LTD,1
