AREA_NAME,LOCATION_NAME,count
DURBAN AREA,STANGER,1
DURBAN AREA,FYNNLAND SDG.ENGEN PETROLEUM LTD,1
DURBAN AREA,DURBAN DEPT.SDG.TRANSWERKE,1
DURBAN AREA,FYNNLAND TANK CLEANOUT SIDING,1
DURBAN HARBOUR AREA,DURBAN HARBOUR (SDG) 3,1465
DURBAN HARBOUR AREA,MAYDON WHARF SDG.S.A SUGAR TER,770
DURBAN HARBOUR AREA,MAYDON WHARF SDG.SOUTH AFRICAN,708
DURBAN HARBOUR AREA,MAYDON WHARF SDG.NCT DURBAN WOOD CHIPS,523
DURBAN HARBOUR AREA,MAYDON WHARF BERTH 9,481
DURBAN HARBOUR AREA,MAYDON WHARF SDG.GRINROD INTER,392
DURBAN HARBOUR AREA,MAYDON WHARF DEPT.SIDING FREIGHTMAX,105
DURBAN HARBOUR AREA,DURBAN HARBOUR SDG.FRESH PRODUCE TERMINA,62
DURBAN HARBOUR AREA,MAYDON WHARF SDG.AFRICAN OXYGE,47
DURBAN HARBOUR AREA,MAYDON WHARF SDG.ENSIMBINI TER,14
DURBAN HARBOUR AREA,MAYDON WHARF SDG.GRINROD TERMI,5
DURBAN HARBOUR AREA,MAYDON WHARF SDG.BIDFREIGHT PORT OPER.,2
EAST LONDON AREA,UMTATA,36
EAST LONDON AREA,QUEENSTOWN SDG. AFRISAM S.A,26
EAST LONDON AREA,STERKSTROOM,20
EAST LONDON AREA,CHISELHURST SDG.AFRISAM SOUTH AFRICA LTD,15
EAST LONDON AREA,CAMBRIDGE DEPT.SIDING PERWAY INSPECTOR,1
ERMELO AREA,RIETKUIL SDG.MAFUBE COLLIERY,500
ERMELO AREA,CAROLINA SDG. DROOGVALLEI RAIL,300
ERMELO AREA,PULLENS HOPE SDG.WOESTALLEEN C,200
ERMELO AREA,LOTHAIR,120
ERMELO AREA,WITRAND SDG.XSTRATA SOUTH AFRI,100
ERMELO AREA,WITRAND SDG.NORTHERN COAL PTY,80
ERMELO AREA,WONDERFONTEIN SDG.IZIMBIWA COA,40
ERMELO AREA,VOORSLAG SDG.XSTRATA SOUTH AFR,40
ERMELO AREA,ERMELO LOKO/DEPOT,39
ERMELO AREA,RIETVLEIRUS (SDG),29
ERMELO AREA,ERMELO YARD,17
ERMELO AREA,PULLENS HOPE,6
ERMELO AREA,ERMELO YARD SDG.FORZANDO,2
ISANDO AREA,ISANDO SDG.A.E.C.I LIMITED,1524
ISANDO AREA,KAALFONTEIN SITE CAR TRAIN,1084
