CORRIDOR_NAME,COMMODITY_DESC,count
CENTRAL CORRIDOR,REC FULL EMPTY RETURN(CONTRACT,13
CENTRAL CORRIDOR,GAS IN TANK WAGONS,7
CENTRAL CORRIDOR,SUGAR PACKED,5
CENTRAL CORRIDOR,GENERAL SPRINT UNALLOCATED,4
CENTRAL CORRIDOR,TRACTION,2
CENTRAL CORRIDOR,HARDWARE EOHP,2
CENTRAL CORRIDOR,ORS,2
CONTAINER CORRIDOR,PULPWOOD (HARD WOOD),8511
CONTAINER CORRIDOR,CONTAINER WAGON MOVEMENT,6532
CONTAINER CORRIDOR,COAL EOHP,5773
CONTAINER CORRIDOR,CEMENT CLINKER,3292
CONTAINER CORRIDOR,SUGAR LOOSE,2593
CONTAINER CORRIDOR,MANGANESE CRUDE DIOXIDE EXP,2395
CONTAINER CORRIDOR,CHROME ORE SAND CRUDE EXP,2233
CONTAINER CORRIDOR,MAIZE LOOSE EXP,1972
CONTAINER CORRIDOR,SLAG IRON & STEEL T/WAGONS,1761
CONTAINER CORRIDOR,MOTOR SELFPROPELLED VEHICLES,1712
CONTAINER CORRIDOR,P12M CONT HEAVY >26T-<29400KG,1320
CONTAINER CORRIDOR,COAL EXPORT FOR STACKS,1275
CONTAINER CORRIDOR,WHEAT LOOSE EOHP,891
CONTAINER CORRIDOR,CONTAINER TRAFF MOVED AS BULK,772
CONTAINER CORRIDOR,DIESEL FUEL OIL T/WAGONS,636
CONTAINER CORRIDOR,FLUORSPAR,597
CONTAINER CORRIDOR,MANGANESE CRUDE DIOXIDE LOCAL,562
CONTAINER CORRIDOR,IRON OR STEEL,534
CONTAINER CORRIDOR,EARTH ETC CRUDE,504
CONTAINER CORRIDOR,BARLEY EOHP,426
CONTAINER CORRIDOR,LIME IN BAGS,361
CONTAINER CORRIDOR,CEMENT ORDINARY IN T/WAGONS,324
CONTAINER CORRIDOR,PETROL UNL T/W GASOLINE 1203,260
CONTAINER CORRIDOR,INFRASTRUCTURE,253
CONTAINER CORRIDOR,CHEMICALS IN T/WAGONS,231
CONTAINER CORRIDOR,COKE EOHP,182
CONTAINER CORRIDOR,IRON ORE,164
CONTAINER CORRIDOR,COPPER  CRUDE CONCENTRATE,160
CONTAINER CORRIDOR,P12M CONT EXP HEAV >26T-29400K,127
CONTAINER CORRIDOR,CHROME ORE AND SAND,111
CONTAINER CORRIDOR,WIRE EOHP,106
CONTAINER CORRIDOR,SUGAR PACKED,90
CONTAINER CORRIDOR,MAIZE LOOSE,86
CONTAINER CORRIDOR,PETROLEUM DERIVATIVES,65
CONTAINER CORRIDOR,GAS IN TANK WAGONS,62
CONTAINER CORRIDOR,AVIATION TURBINE FUEL T/WAGONS,57
CONTAINER CORRIDOR,AMMONIA ANHYDROUS LIQUOR / SOL,56
CONTAINER CORRIDOR,SODIUM CARBONITE/CHROMATE BOT,43
CONTAINER CORRIDOR,GYPSUM EOHP,40
CONTAINER CORRIDOR,BLOCKS EOHP,39
CONTAINER CORRIDOR,WHEAT MODDERRIVER RELOAD,36
CONTAINER CORRIDOR,LIMESTONE BAG/LOOSE OPEN WAGON,30
CONTAINER CORRIDOR,WHEAT LOOSE EXPORT,23
CONTAINER CORRIDOR,CAUSTIC SODA EOHP,17
CONTAINER CORRIDOR,MAIZE EX DOUGLAS/MODDERRIVIER,16
CONTAINER CORRIDOR,LIME UNSLATED HYDRATED LOOSE,10
CONTAINER CORRIDOR,MINING TIMBER,7
CONTAINER CORRIDOR,FERTILIZER EOHP,5
CONTAINER CORRIDOR,OIL LUBRICATING IN T TRUCKS,3
CONTAINER CORRIDOR,HARDWARE EOHP,2
CONTAINER CORRIDOR,GAS PETROLEUM,2
CONTAINER CORRIDOR,GENERAL SPRINT UNALLOCATED,1
CONTAINER CORRIDOR,MANGANESE SINTERED,1
NORTH CORRIDOR,CHROME ORE SAND CRUDE EXP,15882
NORTH CORRIDOR,MAGNETITE,9238
NORTH CORRIDOR,FERROCHROME,8668
NORTH CORRIDOR,REC FULL EMPTY RETURN(CONTRACT,7629
NORTH CORRIDOR,COAL EOHP,5783
NORTH CORRIDOR,PHOSPHATE ROCK,5057
NORTH CORRIDOR,COAL EXPORT FOR STACKS,4051
NORTH CORRIDOR,TITANIUM SLAG,2261
NORTH CORRIDOR,PULPWOOD (HARD WOOD),2116
NORTH CORRIDOR,IRON ORE (EXP),1462
NORTH CORRIDOR,IRON/ PIG SPONGE,1156
NORTH CORRIDOR,MANGANESE CRUDE DIOXIDE EXP,994
NORTH CORRIDOR,SUGAR CANE EOHP,783
NORTH CORRIDOR,MANGANESE CRUDE DIOXIDE LOCAL,673
NORTH CORRIDOR,CEMENT CLINKER,524
NORTH CORRIDOR,PETROLEUM DERIVATIVES,468
NORTH CORRIDOR,CHROME ORE AND SAND,446
NORTH CORRIDOR,AMMONIA ANHYDROUS LIQUOR / SOL,400
NORTH CORRIDOR,CONTAINER WAGON MOVEMENT,384
NORTH CORRIDOR,COAL CONTAINERS BULK TRAFFIC,293
NORTH CORRIDOR,GYPSUM EOHP,226
NORTH CORRIDOR,CEMENT ORDINARY IN T/WAGONS,202
NORTH CORRIDOR,GRANITE OR GRANITE CHIPS,195
NORTH CORRIDOR,INFRASTRUCTURE,185
NORTH CORRIDOR,RUTILE SAND,133
NORTH CORRIDOR,DIESEL FUEL OIL T/WAGONS,109
NORTH CORRIDOR,SULPHUR AND SULPHUR POWDER,108
NORTH CORRIDOR,BLOCKS EOHP,88
NORTH CORRIDOR,GENERAL SPRINT UNALLOCATED,76
NORTH CORRIDOR,CAUSTIC SODA EOHP,55
NORTH CORRIDOR,PETROL UNL T/W GASOLINE 1203,44
NORTH CORRIDOR,ZIRCONIUM SAND  SILICATE,29
NORTH CORRIDOR,TAR ACID MIXTURE CRUDE,22
NORTH CORRIDOR,ORS,20
NORTH CORRIDOR,PULPWOOD(SOFTWOOD),14
NORTH CORRIDOR,GAS IN TANK WAGONS,7
NORTH CORRIDOR,WHEAT LOOSE EOHP,2
NORTH CORRIDOR,OIL LUBRICATING IN T TRUCKS,1
NORTH EAST CORRIDOR,CHROME ORE AND SAND,6185
NORTH EAST CORRIDOR,COAL EOHP,2844
NORTH EAST CORRIDOR,CHROME ORE SAND CRUDE EXP,2324
NORTH EAST CORRIDOR,MAGNETITE,1891
NORTH EAST CORRIDOR,PHOSPHATE ROCK,1027
NORTH EAST CORRIDOR,FERROCHROME,1002
NORTH EAST CORRIDOR,PULPWOOD (HARD WOOD),773
NORTH EAST CORRIDOR,COAL EXPORT FOR STACKS,745
NORTH EAST CORRIDOR,REC FULL EMPTY RETURN(CONTRACT,524
NORTH EAST CORRIDOR,INFRASTRUCTURE,409
NORTH EAST CORRIDOR,CONTAINER WAGON MOVEMENT,388
NORTH EAST CORRIDOR,GENERAL SPRINT UNALLOCATED,319
NORTH EAST CORRIDOR,SUGAR LOOSE,237
NORTH EAST CORRIDOR,DIESEL FUEL OIL T/WAGONS,184
NORTH EAST CORRIDOR,LIMESTONE BAG/LOOSE OPEN WAGON,180
NORTH EAST CORRIDOR,MANGANESE CRUDE DIOXIDE LOCAL,179
NORTH EAST CORRIDOR,FLUORSPAR,136
NORTH EAST CORRIDOR,MANGANESE CRUDE DIOXIDE EXP,87
NORTH EAST CORRIDOR,COAL CONTAINERS BULK TRAFFIC,85
NORTH EAST CORRIDOR,ORS,68
NORTH EAST CORRIDOR,IRON ORE (EXP),65
NORTH EAST CORRIDOR,LIME IN BAGS,63
NORTH EAST CORRIDOR,MINING TIMBER,28
NORTH EAST CORRIDOR,VERMUCULITE,12
NORTH EAST CORRIDOR,AMMONIA ANHYDROUS LIQUOR / SOL,2
NORTH EAST CORRIDOR,HARDWARE EOHP,2
NORTH EAST CORRIDOR,PETROL UNL T/W GASOLINE 1203,2
NORTH EAST CORRIDOR,OIL LUBRICATING IN T TRUCKS,1
ORELINE CORRIDOR,IRON ORE (EXP),124111
ORELINE CORRIDOR,MANGANESE CRUDE DIOXIDE EXP,1358
ORELINE CORRIDOR,INFRASTRUCTURE,301
ORELINE CORRIDOR,TITANIUM CRUDE ILMENITE SAND,268
ORELINE CORRIDOR,ZIRCONIUM SAND  SILICATE,257
ORELINE CORRIDOR,MANGANESE CRUDE DIOXIDE LOCAL,98
ORELINE CORRIDOR,RUTILE SAND,42
ORELINE CORRIDOR,GRANITE OR GRANITE CHIPS,17
